N,strategy,n_depots,v_repair,cadence,expected_mttr,median_mttr,max_mttr,min_mttr,p_72h,t_wait
83,hybrid,15,300.0,10,928.9877637437087,928.8638392857142,932.6784722222221,927.3892857142856,0.037226607578397214,925.9259259259259
83,hybrid,15,600.0,1,94.82351150148406,94.76154927248677,96.66886574074073,94.02427248677249,0.3767530378919861,92.59259259259258
83,hybrid,15,600.0,2,187.41610409407662,187.35414186507936,189.2614583333333,186.61686507936506,0.18837651894599305,185.18518518518516
83,hybrid,15,600.0,5,465.19388187185444,465.13191964285704,467.03923611111105,464.3946428571428,0.0753506075783972,462.96296296296293
83,hybrid,15,600.0,10,928.1568448348175,928.09488260582,930.002199074074,927.3576058201057,0.0376753037891986,925.9259259259259
83,hybrid,20,150.0,1,96.51881662149954,96.31425925925925,101.7248148148148,93.99333333333333,0.36759839024390245,92.59259259259258
83,hybrid,20,150.0,2,189.1114092140921,188.90685185185185,194.3174074074074,186.58592592592592,0.18379919512195123,185.18518518518516
83,hybrid,20,150.0,5,466.8891869918699,466.6846296296296,472.09518518518513,464.36370370370366,0.07351967804878048,462.96296296296293
83,hybrid,20,150.0,10,929.8521499548328,929.6475925925924,935.0581481481481,927.3266666666666,0.03675983902439024,925.9259259259259
83,hybrid,20,300.0,1,95.25570460704607,95.15342592592592,97.8587037037037,93.99296296296296,0.37441919512195126,92.59259259259258
83,hybrid,20,300.0,2,187.84829719963867,187.7460185185185,190.45129629629628,186.58555555555554,0.18720959756097563,185.18518518518516
83,hybrid,20,300.0,5,465.62607497741635,465.52379629629627,468.22907407407405,464.3633333333333,0.07488383902439025,462.96296296296293
83,hybrid,20,300.0,10,928.5890379403794,928.4867592592592,931.1920370370369,927.3262962962962,0.037441919512195124,925.9259259259259
83,hybrid,20,600.0,1,94.62414859981934,94.57300925925927,95.92564814814814,93.99277777777777,0.3778295975609756,92.59259259259258
83,hybrid,20,600.0,2,187.21674119241192,187.16560185185182,188.51824074074074,186.58537037037036,0.1889147987804878,185.18518518518516
83,hybrid,20,600.0,5,464.99451897018974,464.9433796296296,466.29601851851845,464.36314814814807,0.07556591951219513,462.96296296296293
83,hybrid,20,600.0,10,927.9574819331527,927.9063425925925,929.2589814814814,927.326111111111,0.037782959756097564,925.9259259259259
83,hybrid,30,150.0,1,95.65702649804274,95.52623456790123,97.95567901234567,94.00999999999999,0.3722520569105692,92.59259259259258
83,hybrid,30,150.0,2,188.24961909063535,188.11882716049382,190.54827160493824,186.60259259259257,0.1861260284552846,185.18518518518516
83,hybrid,30,150.0,5,466.0273968684131,465.89660493827154,468.326049382716,464.3803703703703,0.0744504113821138,462.96296296296293
83,hybrid,30,150.0,10,928.990359831376,928.8595679012345,931.2890123456789,927.3433333333332,0.0372252056910569,925.9259259259259
83,hybrid,30,300.0,1,94.82480954531768,94.7594135802469,95.97413580246912,94.00129629629629,0.37674602845528454,92.59259259259258
