n_depots,launch_cost,discount_rate,payload_revenue,npv_modular_depot,npv_monolithic,delta_npv,modular_wins
5,1500.0,0.1,200.0,-743122800.6549139,-834925859.2808993,91803058.62598538,True
5,1500.0,0.1,300.0,-179135981.90713266,-327760482.5282907,148624500.62115803,True
5,1500.0,0.1,500.0,948837655.5884297,686570270.9769268,262267384.6115029,True
5,2000.0,0.05,200.0,-1003834859.3824677,-1229172011.690406,225337152.30793834,True
5,2000.0,0.05,300.0,99810761.58904457,-199496115.72886732,299306877.31791186,True
5,2000.0,0.05,500.0,2307102003.5320697,1859855676.1942089,447246327.3378608,True
5,2000.0,0.07,200.0,-1204815122.1550565,-1367936486.8199856,163121364.66492915,True
5,2000.0,0.07,300.0,-374103354.1198582,-603686334.4458112,229582980.32595295,True
5,2000.0,0.07,500.0,1287320181.9505394,924813970.3025384,362506211.64800096,True
5,2000.0,0.1,200.0,-1350632517.982582,-1451344730.2096057,100712212.2270236,True
5,2000.0,0.1,300.0,-786645699.234801,-944179353.4569963,157533654.22219527,True
5,2000.0,0.1,500.0,341327938.2607608,70151400.04822096,271176538.2125398,True
7,500.0,0.05,200.0,1319303204.1905458,1237220841.019706,82082363.17083979,True
7,500.0,0.05,300.0,2422948825.162059,2266896736.981244,156052088.18081474,True
7,500.0,0.05,500.0,4630240067.1050825,4326248528.904321,303991538.2007618,True
7,500.0,0.07,200.0,870251549.2830005,804391106.8562657,65860442.426734805,True
7,500.0,0.07,300.0,1700963317.3181992,1568641259.2304397,132322058.0877595,True
7,500.0,0.07,500.0,3362386853.388597,3097141563.978789,265245289.40980816,True
7,500.0,0.1,200.0,444370879.4065428,397911882.5765117,46458996.8300311,True
7,500.0,0.1,300.0,1008357698.1543239,905077259.3291204,103280438.82520354,True
7,500.0,0.1,500.0,2136331335.6498861,1919408012.8343382,216923322.81554794,True
7,1000.0,0.05,200.0,520118745.0321565,415089890.1163355,105028854.91582102,True
7,1000.0,0.05,300.0,1623764366.0036685,1444765786.0778737,178998579.92579484,True
7,1000.0,0.05,500.0,3831055607.946693,3504117578.0009494,326938029.94574356,True
7,1000.0,0.07,200.0,157511206.63787416,80281908.96418184,77229297.67369232,True
7,1000.0,0.07,300.0,988222974.673073,844532061.3383563,143690913.3347168,True
7,1000.0,0.07,500.0,2649646510.74347,2373032366.086705,276614144.656765,True
7,1000.0,0.1,200.0,-171237678.0480174,-218506988.35219392,47269310.30417651,True
7,1000.0,0.1,300.0,392749140.6997638,288658388.4004147,104090752.29934907,True
7,1000.0,0.1,500.0,1520722778.195326,1302989141.9056325,217733636.2896936,True
7,1500.0,0.05,200.0,-279065714.1262331,-407041060.7870347,127975346.66080159,True
7,1500.0,0.05,300.0,824579906.8452795,622634835.1745034,201945071.670776,True
7,1500.0,0.05,500.0,3031871148.788304,2681986627.09758,349884521.6907239,True
7,1500.0,0.07,200.0,-555229136.0072522,-643827288.9279016,88598152.92064941,True
7,1500.0,0.07,300.0,275482632.0279465,120422863.4462729,155059768.58167356,True
7,1500.0,0.07,500.0,1936906168.0983438,1648923168.1946225,287982999.90372133,True
7,1500.0,0.1,200.0,-786846235.5025777,-834925859.2808993,48079623.778321624,True
7,1500.0,0.1,300.0,-222859416.7547964,-327760482.5282907,104901065.7734943,True
7,1500.0,0.1,500.0,905114220.7407659,686570270.9769268,218543949.76383913,True
7,2000.0,0.05,200.0,-1078250173.2846224,-1229172011.690406,150921838.40578365,True
7,2000.0,0.05,300.0,25395447.686889857,-199496115.72886732,224891563.41575718,True
7,2000.0,0.05,500.0,2232686689.6299148,1859855676.1942089,372831013.4357059,True
7,2000.0,0.07,200.0,-1267969478.6523786,-1367936486.8199856,99967008.16760707,True
7,2000.0,0.07,300.0,-437257710.61718047,-603686334.4458112,166428623.8286307,True
7,2000.0,0.07,500.0,1224165825.453217,924813970.3025384,299351855.15067863,True
7,2000.0,0.1,200.0,-1402454792.9571378,-1451344730.2096057,48889937.25246787,True
7,2000.0,0.1,300.0,-838467974.2093567,-944179353.4569963,105711379.24763966,True
7,2000.0,0.1,500.0,289505663.2862052,70151400.04822096,219354263.2379842,True
10,500.0,0.05,200.0,1262853454.0719948,1237220841.019706,25632613.05228877,True
10,500.0,0.05,300.0,2366499075.0435076,2266896736.981244,99602338.06226349,True
10,500.0,0.05,500.0,4573790316.986531,4326248528.904321,247541788.08221054,True
10,500.0,0.07,200.0,821358494.2650607,804391106.8562657,16967387.408795,True
10,500.0,0.07,300.0,1652070262.3002594,1568641259.2304397,83429003.06981969,True
10,500.0,0.07,500.0,3313493798.370657,3097141563.978789,216352234.3918681,True
10,500.0,0.1,200.0,403082247.5157226,397911882.5765117,5170364.939210892,True
10,500.0,0.1,300.0,967069066.2635038,905077259.3291204,61991806.93438339,True
10,500.0,0.1,500.0,2095042703.7590659,1919408012.8343382,175634690.92472768,True
10,1000.0,0.05,200.0,445277921.3353783,415089890.1163355,30188031.219042778,True
10,1000.0,0.05,300.0,1548923542.3068902,1444765786.0778737,104157756.22901654,True
10,1000.0,0.05,500.0,3756214784.249915,3504117578.0009494,252097206.24896574,True
10,1000.0,0.07,200.0,93338658.377253,80281908.96418184,13056749.413071156,True
10,1000.0,0.07,300.0,924050426.412452,844532061.3383563,79518365.07409573,True
10,1000.0,0.07,500.0,2585473962.482849,2373032366.086705,212441596.3961439,True
10,1000.0,0.1,200.0,-224674570.12917536,-218506988.35219392,-6167581.776981443,False
10,1000.0,0.1,300.0,339312248.61860585,288658388.4004147,50653860.21819115,True
10,1000.0,0.1,500.0,1467285886.1141682,1302989141.9056325,164296744.20853567,True
10,1500.0,0.05,200.0,-372297611.4012384,-407041060.7870347,34743449.38579631,True
10,1500.0,0.05,300.0,731348009.5702741,622634835.1745034,108713174.39577067,True
10,1500.0,0.05,500.0,2938639251.513299,2681986627.09758,256652624.41571903,True
